Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
MYB (human)	171/1409	8.90270387694367e-09	2.90228146388364e-06	171	0.121362668559262	ATF2;ZNF292;GMNN;LIPA;EEF1B2;KIAA1109;LAPTM4A;CAPNS2;PPIP5K2;EPSTI1;SLC25A40;PROK2;ENPP4;AZI2;VPS36;SLC35A5;TMEM14B;SLC25A46;STARD4;SLC30A9;RSAD2;COG6;IL1R2;STX7;UBE2E1;RECQL;LIG4;DNAJB14;AP1AR;TNNI3K;ZBTB33;KMO;EID1;IFI27;XRN1;TMX1;UNC50;MATR3;MMADHC;CFH;DCUN1D5;ABHD3;C11ORF1;COX17;LIN7A;SAMSN1;ZMPSTE24;ORC4;GNG10;ATP5E;RNF217;BTLA;SLC38A6;LLPH;KLRC1;SCN3A;ATP6V1D;KLRC3;VTA1;ANKRD22;FZD6;CLLU1;ELL2;CRLS1;ZWINT;CXCL10;LSM6;VNN1;REEP3;FAM26F;PHTF2;MS4A3;GFM2;HEPACAM2;PTPN22;CXCL1;BMI1;COX7C;PHF6;PIGY;CDC73;TNFSF13B;MS4A4A;FAM102B;HINT1;MRPL1;CASP5;OTUD6B;FCER1A;C21ORF91;ZNF644;BBS7;CD36;IFT57;C3ORF58;GSTO1;EED;IFNGR1;COMMD10;ELMOD2;COMMD2;NRG1;PJA2;PARP8;IMMP1L;MS4A6A;PLSCR1;MRPL50;LMBRD1;PRPF18;TMEM33;PTRH2;AGPS;NDUFS4;TFEC;TAX1BP1;SPOPL;FAM96A;EXOC6;CEP63;VAMP4;EEF1E1;BIRC2;BIRC3;DCTN6;SEMA3C;CLEC12A;ATP10D;C17ORF58;AKAP7;PTGS2;RCHY1;HSD17B11;NAPG;C4ORF33;RAB21;STAMBPL1;RNF139;SLITRK4;DNAJB4;TAF1A;TCEAL1;POC1B;SHOC2;GBP4;ZNF222;CHURC1;CRBN;NDUFA5;TRAT1;CARD8;AGL;TUBE1;C20ORF197;OXR1;MPP7;KBTBD3;SLC4A7;NEDD1;CLEC2B;FMNL2;DHRS9;CR1L;ETNK1;KLHL7;C4ORF3;CAPZA2;CD69;KBTBD7;LAMTOR3;BET1
GATA6 (human)	166/1447	6.31084511901914e-07	0.000102866775440012	166	0.114720110573601	CD86;RB1;VPS29;IFI27L2;SAMD9L;IPO11;GMFB;GPR65;GORAB;FCF1;DDX60L;HNMT;KIAA1109;LAPTM4A;LGALS2;ABHD10;SESN3;RGS1;FGFR1OP2;FAM19A2;TNFSF10;FAM19A1;MS4A14;GJA9;ARFIP1;FBXO8;ATP6V1E1;AZI2;TRIM22;STX7;ATP11C;TNNI3K;ACSL3;SLPI;MTHFD2;PPA1;KLRF1;CARD16;IDI1;COX16;SUPT4H1;RNF219;ATP5J;DNAJC25;SAMSN1;GTF2E1;RPAP3;MRPL11;ATP5L;ZMPSTE24;RNF217;BTLA;S100A12;ST3GAL6;PIBF1;ZC3H15;CDK17;ZRANB2;XRCC4;KLRC3;VTA1;ANKRD22;CCDC14;LARP7;TBCA;FAM111A;COPS5;KIAA1598;P4HA1;VNN2;UQCRQ;LPAR6;IL7;ECHDC1;GNB4;UBA3;SLC26A8;FAM26F;RSL24D1;CUTC;DENND1B;EIF4E3;TNFAIP6;PYROXD1;LRRK2;SNX10;EFCAB7;PIGY;CDC73;HS2ST1;FAM102B;HINT1;CASP1;NEFL;FCER1A;MYBL1;CCT2;SHPRH;PPP1R12A;GSTO1;VBP1;EED;COMMD2;IL18;BPGM;PARP8;VAMP7;NSMCE4A;MMRN1;HEATR5A;ASPH;PIGA;B3GNT5;TFEC;TAX1BP1;FAM96A;HNRNPH2;ZNF780A;CEP63;BCAT1;ST6GALNAC3;EEF1E1;DCP2;TMEM55A;USP16;C2ORF69;MRPS36;NAA20;CLEC12B;SGMS2;FAM105A;C4ORF33;RAB21;NRAS;C6ORF57;ARL13B;DNAJB4;PGGT1B;GCNT2;FEM1C;TCEB1;AHSP;DCAF13;GBP4;IGBP1;SLC35A1;CCL23;RWDD3;CENPW;NIPSNAP3A;CHURC1;C1GALT1;CARD6;NAP1L3;OXR1;BATF;NEDD1;PRPF39;EVI2A;DHRS9;LPCAT2;MITD1;CD69;LAMTOR3;TOMM5;C11ORF57
POU1F1 (human)	161/1408	1.15216307115428e-06	0.000125201720398765	161	0.114346590909091	CD86;SCOC;CCNH;GPR65;FAM13A;HP;SMC6;IFI44L;KIAA1107;CAPNS2;PPIP5K2;RNF19A;FAM19A2;FAM19A1;MS4A14;GJA9;NUDT15;AZI2;VPS36;SLC25A46;ANKRD49;COG6;GLCE;IFRD1;ARRDC3;IFT80;TNNI3K;FNDC3A;KMO;XRN1;KLRF1;CARD16;CLEC4E;DSC2;CD274;BEX2;UBA6;COX17;MYNN;BAZ2B;DDX60;MRPL13;SAMSN1;RAP1B;ORC4;FAM188A;COMMD8;ACN9;ATP5E;RNF217;MIER1;MCTS1;CDK17;ZRANB2;PNPT1;KLRC3;ANKRD22;NEK7;FZD6;LARP7;TRIP4;TDRD7;CLLU1;COQ5;CXCL10;PM20D2;LSM6;CCPG1;IL7;RPS29;NDUFAF4;OSTC;COPS2;SPATS2L;PSMG1;FAM26F;ZNF654;RSL24D1;PHTF2;MCTP1;PYROXD1;RNF14;CRISP3;HEPACAM2;SNX10;C2ORF49;FCAR;TNFSF13B;SGOL2;MRPL1;KYNU;CASP4;CD36;BBS7;TMED7;NCK1;PPP1R12A;GPR34;ARG1;COMMD10;NSUN3;IL18;MRPS21;PLA2G4A;PEX2;PARP8;PSMA3;MMRN1;ASPH;ZNF879;NDUFS4;TFEC;PIGK;POT1;ZNF780A;EEF1E1;SEC22A;RGS18;NDUFB6;ITLN1;ZNF518A;AKAP7;SGMS2;NLRC4;CCNDBP1;TANK;NAPG;C4ORF33;RNF138;SLITRK4;DNAJB4;C18ORF21;TCEAL1;RBBP8;POC1B;DCAF13;GBP4;PAIP1;NIPSNAP3A;CDKN2C;YTHDF3;CARD8;AGL;HUWE1;CARD6;NAP1L3;OXR1;SVIP;KBTBD3;SLC4A7;ETAA1;RIT1;CLEC2B;RPA3;MSRB2;SPAG1;TAF7;CD69;ABCE1;C11ORF58;TRIM34
CBEPB (human)	264/2598	8.32122954134427e-06	0.000678180207619558	264	0.10161662817552	SLC35B3;ATF2;PI4K2B;SCOC;IPO11;CCNH;RPL31;TMEM200A;GORAB;C4BPA;SMC2;EPS8;CAPNS2;FAM19A2;FAM19A1;MS4A14;ATP6V1E1;FBXO8;VPS36;STARD4;ENTPD1;RPL21;OXSM;IFRD1;CMC1;RECQL;AP1AR;FNDC3A;RNASE3;RNASE2;ZNF14;EID1;NIF3L1;COX7A2L;THAP5;PPA2;SLPI;XRN1;DDIT3;SUB1;TMEM126B;ATP5J;SAMSN1;C9ORF72;ZNF26;RPAP3;PLAC8;RHOT1;PRDX4;MIER1;STK38L;TSPAN2;ARGLU1;ATP6V1C1;GADD45A;LARP7;MTHFS;NMI;SRPK1;LPAR6;ANP32E;NT5C1B-RDH14;TRMT11;ITM2A;CUTC;C5ORF30;DENND1B;COX7B;GFM2;HEPACAM2;SNX10;LRRC6;BMI1;WDR43;PIGY;MS4A4A;IFIH1;EEA1;HINT1;NUDCD1;CD36;GABPA;HTATIP2;CD52;GPR34;STARD3NL;ARG1;IFNGR1;ELMOD2;COMMD3;COMMD6;ZFX;MS4A6A;PLSCR1;ZEB2;CEACAM1;BDH2;TMEM33;AGPS;PIGK;NCOA7;EXOC5;EEF1E1;VAMP4;SAMD8;CCDC104;TIMM10;HSPA14;TANK;SSFA2;LILRA5;FAM177A1;USP1;LAIR2;AHSP;ZNF585A;ZNF222;MPZL2;CCL23;CRBN;GCA;YTHDF3;GK;MTX2;P2RY14;CARD8;HUWE1;RANBP6;KBTBD3;ETAA1;TMEM59;RIT1;XK;SNX16;DHRS9;FABP5;LYRM5;CR1L;PSMC2;FAS;KBTBD7;ZNF354A;LAMTOR3;RNF141;TOMM5;SRP19;SAMD9L;NAB1;GTF2B;PROS1;GMNN;PRDM5;SAT1;ABHD10;RGS1;RNF19A;ANKRD32;MACROD2;CHCHD1;TMEM14A;ZNF684;STX7;TMOD2;UBE2E1;LIG4;VRK2;ZBTB33;KMO;LZTFL1;KLRF1;PHIP;FAIM;IDI1;COX17;LY96;DNAJC25;DDX60;GTF2E1;RPF1;BAG4;ACN9;BTLA;TNFRSF17;STAP1;SOCS4;PNPT1;FANCL;STYX;BMX;DNAJC15;HOPX;NAT1;CCPG1;UBE2T;DMXL2;SELK;SERINC1;ZNF654;MDM1;PHTF2;MS4A3;CXCL1;LMNB1;RPGR;SGOL2;SUMO1;KYNU;CASP4;CASP1;C21ORF91;HORMAD1;MYBL1;LBR;SLC37A3;SRGN;ITGA4;H2AFZ;VBP1;HAUS3;IRAK3;PEX2;GLRX2;GPCPD1;PTP4A1;ASPH;RP2;ZNF879;NDUFS4;ST6GALNAC3;TMEM55A;CLEC12A;NDUFB6;FGL2;NDUFB3;TTK;NLRC4;C4ORF33;CRYZ;STRN3;PPP2R3C;DNAJB4;SLITRK4;TAF1A;VPS54;POC1B;SNRPB2;DRAM2;GBP4;SEC11C;SLC25A24;TIMM8B;SLC35A1;NAP1L3;OXR1;C9ORF41;GALC;SLC4A7;EVI2A;EIF3J;RAB18;EIF3E;PPIL3;TRIM34;BET1
TCF4 (human)	400/4210	2.13595325324068e-05	0.00139264152111292	400	0.0950118764845606	VPS29;SCOC;IPO11;TMEM200A;GMFG;RPL34;SMC2;EPS8;ZC3H12C;KIAA1109;CAPNS2;GPBP1;MS4A14;ATG3;STARD4;RPL21;DNTTIP2;IFT80;MED4;EID1;SARNP;RPL27;VPS25;IDO1;ZNF20;MYNN;VPS26A;BAZ2B;ANAPC10;MTMR6;MRPL11;PLAC8;RNF217;ZNF383;FZD6;LARP7;ZNF32;TRIP4;BTBD10;C9ORF85;GPN3;FAM111A;FAM135A;TDP2;PSMG1;GAPT;C11ORF31;EFCAB7;HSPB11;MS4A4A;IFIH1;EEA1;TRIM6;IMPA1;EFCAB2;RIOK2;SERPINB1;GSTO1;IFNGR1;MRPL47;GNL3;MRPL44;MS4A6A;PLSCR1;ZEB2;BDH2;PSMA4;VAMP7;HEATR5A;TMEM33;AGPS;PIGK;POT1;EXOC6;CEP63;ERGIC2;EXOC1;C11ORF54;ZNF230;ZNF593;SAMD8;TIMM10;CCNDBP1;HSPA14;HSPA13;SSFA2;PSMB6;NRAS;C18ORF25;RNF138;ZNF586;PAIP1;CENPW;CARD8;GTF2H2;C20ORF197;HIPK3;LYRM1;TMEM59;DHRS9;OSTM1;LYRM5;ETNK1;SNX14;PSMC2;YPEL5;LAMTOR3;C11ORF57;TMEM167A;NAB1;GTF2B;PROS1;GPR65;FMR1;CEP120;FAM13A;ABHD13;SLC25A46;CSNK1G3;FAM91A1;OLFM4;THOC7;CLEC4D;ADAM9;SNRPF;CD274;UQCRB;CUL5;INSIG2;HMMR;C1ORF52;KRCC1;BTBD3;MBIP;NAE1;ZNF302;MAP2K6;ATP8B4;ANKRD22;GLMN;CYBRD1;DEFA1;BMX;NDC80;HOPX;LSM3;CXCL10;COPS5;REEP3;SP3;SLC26A8;ZNF658;FAM26F;MDM1;EIF4E3;PTPN22;ARL5B;MRPL1;SUMO1;SCRN3;CCDC53;ZNF644;LBR;C3ORF58;NCK1;PPP1R12A;VBP1;HAUS3;NRG1;PLRG1;REXO2;PTBP2;PTP4A1;TMBIM4;ASPH;ZNF879;SMPDL3A;BIRC2;BIRC3;SMARCD3;SEMA3C;GLRX;RCHY1;HSD17B11;RAB21;DRAM1;ARL13B;DNAJB4;SLITRK4;VPS54;SNRPB2;RAB28;FCGR1A;WASF1;KCNJ2;POLR2K;DCAF13;SEC11C;NDUFA6;NDUFA5;GZMA;KCNJ15;OXR1;SUCLA2;SPAG1;EIF3E;BET1;LPGAT1;CCNH;IFIT5;NFU1;EFR3A;LGALS2;MAGOH;TNFSF10;FBXO3;FBXO8;SLC35A5;TRIM22;EIF2A;PDHX;ENTPD1;ALG6;GIN1;IL1R2;IFRD1;RECQL;YOD1;ACSL3;MRPS18C;TWSG1;IFI27;PPA1;SUB1;BOLA2;FAM76B;LAP3;CCDC82;ATP5J;NMD3;MYL12B;ZMPSTE24;SNX4;MIER3;ATP5E;ERI2;MIER1;ST8SIA4;TSPAN2;ZNF700;ZWINT;SRPK1;VNN1;NDUFAF4;RBAK;ORM1;CCDC126;CETN3;HEPACAM2;HINT1;NUDCD2;SLC22A15;NUDCD1;C14ORF2;BBS7;CD36;TMED7;GABPA;HTATIP2;RALGPS2;FCER1G;PRMT3;IL18;COMMD2;MRPS21;PARP8;RAB33B;CEACAM1;BBS10;PRPF18;TAX1BP1;CD48;NCOA7;EEF1E1;CD46;C1QA;MRPS36;PTGER2;C17ORF58;GNAI3;IFI6;PTS;LILRA5;FAM177A1;TCEAL1;TWISTNB;LAIR2;CD59;CD58;EXOSC3;SUZ12;YIPF4;AKR1C3;TUBE1;MPP7;NEDD1;CR1L;QPCT;RPA3;STK17B;CAPZA2;CD69;FAU;ACTR10;KBTBD8;SAMD9L;GOLT1B;PRDM5;ARID4B;IFI44L;RGS2;PPIP5K2;FPGT;FAM198B;SACS;FAM3C;TMEM14C;TMOD2;LMO2;ADAM10;LIG4;DNAJB14;ALG10;WDFY1;KLRF1;MATR3;CCDC142;EMG1;ZMAT1;LLPH;KLRC1;ZC3H15;CBX3;GGH;TDRD7;TBCA;CLK1;NAT1;SELK;FAM175A;UBA3;SELT;MS4A3;TNFAIP6;MS4A7;TRIAP1;MYSM1;CHD1;HEBP2;SENP7;SNAPC1;CA4;HORMAD1;MKKS;TTC32;TTC33;EED;DYNLT3;PLA2G4A;RPS3A;GLRX2;GPCPD1;MASTL;PJA2;RCN2;OAS1;MMRN1;IFNG;NDUFS4;NDUFS3;RGS18;CLEC12A;BCL2A1;FAM169A;C4ORF33;CRYZ;CLN5;PPP2R3C;BNIP2;POC1B;GBP2;IGBP1;RWDD1;RWDD3;CHURC1;C4ORF27;GALC;SLC4A7;GNPDA2;ERCC6
MEF2A (human)	270/2800	0.000265557979106746	0.0144286501981332	270	0.0964285714285714	PI4K2B;SCOC;IPO11;CCNH;RPL34;NUDT1;CISD2;DDX60L;IFIT1;IFIT3;TXNDC16;EPS8;KIAA1586;KIAA1468;FGFR1OP2;FAM19A1;MS4A14;ATP6V1E1;FBXO8;VPS36;RPS10;SLC35A5;ENTPD1;RSAD2;ALG5;IFRD1;RECQL;DNTTIP2;IFT80;ACSL3;MED7;PPA1;TMEM126A;LAP3;BEX2;MYNN;VPS26A;TMTC1;BAZ2B;TXN;SAMSN1;C9ORF72;PLAC8;FAM160B1;COMMD8;ZNF708;PRDX4;ZNHIT3;ATP5E;ST8SIA4;ZBED5;ATG5;MCTS1;CDK17;EAF2;EIF2AK2;IFI44;OSGIN2;ELL2;RPS27;FAM135A;VNN2;LPAR6;NDUFAF4;PSMG1;FBXL5;CUTC;SPIN4;HEPACAM2;SNX10;EFCAB7;PHF6;WDR43;MS4A4A;FAM102B;SLC22A15;HINT3;RIOK2;ACADM;CD36;C17ORF89;CCT2;GPR34;IL18;COMMD2;MRPL48;NSUN7;COMMD6;UCHL3;ZHX1;ZFX;PARP8;RAP2C;RNF144B;ZEB2;TFEC;HNRNPH2;NCOA7;ZNF780A;CD46;CSTA;C11ORF54;ZNF230;RPS27L;ZNF518A;AKAP7;TANK;NAPG;SSFA2;AMN1;RPS15A;C6ORF57;ICT1;RNF138;FAM177A1;KIAA1841;TCEAL1;C18ORF21;TMEM68;MFN1;GCNT2;TCEB1;CD59;ZNF468;EXOSC3;ANKRD50;CASP8AP2;CRBN;HUWE1;CARD6;TUBE1;NOC3L;GTF2H2;KBTBD3;RNF146;DHRS9;OSTM1;KLHL7;NEDD4;RPA3;PSMC2;MSRB2;PKN2;KBTBD8;LAMTOR3;IL18R1;CD86;ZNF571;PROS1;GPR65;GMNN;CEP120;FAM13A;HP;EEF1B2;PTAR1;RGS1;RNF19A;SMARCAD1;NUDT15;AZI2;ZNF684;SLC30A9;ANKRD49;RPS7;STX8;UBE2E1;ALG13;DNAJB14;ZBTB33;KMO;CGRRF1;PHIP;CLEC4E;DSC2;ABCG2;PSMD10;CD274;UBA6;INSIG2;C11ORF1;COX17;LIN7A;DDX60;GTF2E1;STK3;ACN9;BTLA;SMN1;SKIL;ATP8B4;PNPT1;KLRC3;STYX;CYBRD1;ZBTB11;BMX;CLLU1;FOXN2;LSM5;CRLS1;CXCL10;LSM6;NAT1;CCPG1;OSTC;HPSE;NOP10;PHTF2;MS4A3;RNF14;CRISP3;HMGB2;CBWD1;PTPN22;CHD1;OASL;FUNDC2;SCRN3;KYNU;TRIM69;MYBL1;SLC37A3;NCK1;PPP1R12A;EED;PLA2G4A;RPS3A;PLRG1;HAUS1;PTP4A1;RCN2;IFNG;NDUFS4;BMP2K;ATG4C;NAA38;FAM72A;RGS18;NDUFB7;ROCK1;NAA20;TTK;RCHY1;C4ORF32;PRRG4;RBBP8;DNAJB9;ROMO1;LRRC8B;GBP2;FCGR1A;FCGR1B;CTNNAL1;POLR2K;GBP4;SLC25A24;SEC24A;CHURC1;NDUFA5;GALNT3;GZMA;NAP1L3;GALC;POLE4;SLC4A7;CLEC2B;CMTM2;ABCE1;BET1
BCL6 (human)	146/1399	0.000340326041387267	0.0158494699274642	146	0.104360257326662	CD86;GMFB;CCNH;GTF2B;FAM13A;GIMAP2;NUDT2;IFI35;EFR3A;ABHD10;PPIP5K2;RNF19A;FPGT;MS4A14;CHAC2;AZI2;C3ORF14;C5ORF15;STX8;ARRDC3;ACOT13;AP1AR;TRNT1;OLFM4;LACTB2;TMX1;FAM76B;TMEM126B;S100A8;IDO1;CD274;COX16;STXBP3;CCDC146;TWF1;MRPL13;ATP5L;MYL12B;SNX4;FAM188A;MIER3;BTBD3;RNF217;DPH3;ZBED5;SOCS4;MAP2K6;PNPT1;ZNF140;EIF2AK2;OSGIN2;BMX;DERA;COPS4;FAM111A;SULT1B1;CXCL10;BST1;LSM6;VNN1;P4HA1;LPAR6;SPATS2L;ITM2A;PLEKHF2;PHTF2;EIF4E3;MRPS14;PYROXD1;CRISP3;CETN3;PTPN22;EFCAB7;LMNB1;RPGR;MS4A4A;HS2ST1;IFIH1;NUDCD1;OPA1;NKIRAS1;C21ORF91;IFT57;LBR;CCT2;HSDL2;PPP1R12A;VBP1;IL18;NRG1;PEX2;ATP5F1;ZHX1;PARP8;PTP4A1;RNF144B;PLSCR1;LMBRD1;ZEB2;MMRN1;HEATR5A;TMEM33;B3GNT5;AGPS;NCOA7;SLU7;BIRC2;DCP2;CLDND1;ROCK1;NDUFB6;FGL2;ZNF518A;RCHY1;HSD17B11;NAPG;C4ORF33;STRN3;RNF138;CREG1;TMEM68;FCHO2;VPS54;CD59;FCGR1A;EIF4E;ANKRD50;ZNF222;CHURC1;GK;NDUFA5;CARD6;KCNJ15;KLHL2;LYSMD3;KBTBD3;LYRM1;RIT1;PRPF39;CLEC2B;DHRS9;ETNK1;FCGR2B;ABCE1;TRIM34;BET1
HOXD9 (human)	158/1543	0.000465803971659091	0.0189815118451079	158	0.102397926117952	GMFB;CCNH;ZNF292;LRR1;GORAB;GMNN;CEP120;IFI35;IFIT3;EEF1B2;EPS8;EFR3A;RGS2;ZUFSP;GPBP1;ANKRD32;ROPN1L;MACROD2;TMEM38B;CHCHD1;HERC6;ARL6IP6;GABARAPL1;SLC30A9;RPL21;ARRDC3;RECQL;ATP11C;FNDC3A;ZBTB33;HCFC2;NIF3L1;PPA1;SUB1;KLRF1;TXNDC9;DCUN1D5;KLHL15;DCUN1D1;MYNN;RNF219;LY96;MRPL15;ZNF25;SAMSN1;GTF2E1;RPAP3;MYL12B;MED30;ST8SIA4;SLC38A6;PIP5K1B;ATG5;CCDC14;FZD6;IFI44;NETO2;FOXN2;CRLS1;CLK1;CXCL10;NCEH1;VNN2;UQCRQ;NDUFAF4;REEP3;OSTC;ECHDC1;ANP32E;NT5C1B-RDH14;RSL24D1;C5ORF30;MDM1;C17ORF75;ERO1LB;RNF13;GFM2;APIP;SNX13;SNX10;C2ORF49;HSCB;EFCAB7;PHF6;MS4A4A;IFIH1;SENP7;MCEE;C16ORF72;NUDCD1;IMPA1;PSTPIP2;NKIRAS1;OTUD6B;RB1CC1;CASP3;CASP4;WAPAL;ITGAV;RIOK2;CD36;HTATIP2;STARD3NL;PLRG1;PARP9;PARP8;PSMA3;TMBIM4;NDUFS4;B3GNT2;PTPLAD2;EXOC5;CEACAM8;EEF1E1;SLU7;LYPLAL1;CLDND1;SMARCD3;USP16;NDUFB6;FAM35A;FGL2;CLEC12B;GTPBP10;ITLN1;SGMS2;PTGS2;FAM105A;CRYZ;LILRA5;STRN3;RPS15A;RNF139;RNF138;TAF1A;VPS54;DNAJB9;SNRPB2;LRRC8B;EXOSC3;EIF4E;GBP4;MPZL2;MDH1;NDUFA5;GALNT3;AGL;TUBE1;ACVR2A;SUCLA2;EVI2A;CR1L;ETNK1;C12ORF29;SPAG1;PKN2;CD69;ABCE1
